departamento_residencia,provincia_residencia,anio_min,evento,grupo_etario,sepi_min,cantidad
COMUNA 1,CABA,2024,Dengue,Mayores de 65 años,1,1
COMUNA 1,CABA,2024,Dengue,Mayores de 65 años,10,115
COMUNA 1,CABA,2024,Dengue,Mayores de 65 años,8,67
COMUNA 1,CABA,2024,Dengue,Posneonato (29 hasta 365 días),11,1
COMUNA 1,CABA,2024,Dengue,Posneonato (29 hasta 365 días),12,2
COMUNA 1,CABA,2024,Dengue,De 13 a 24 meses,12,3
COMUNA 1,CABA,2024,Dengue,De 13 a 24 meses,15,2
COMUNA 1,CABA,2024,Dengue,De 13 a 24 meses,9,1
COMUNA 1,CABA,2024,Dengue,De 10 a 14 años,4,7
COMUNA 1,CABA,2024,Dengue,De 15 a 19 años,15,92
COMUNA 1,CABA,2024,Dengue,De 15 a 19 años,23,1
COMUNA 1,CABA,2024,Dengue,De 15 a 19 años,9,81
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,19,12
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,20,6
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,5,7
COMUNA 2,CABA,2024,Dengue,De 35 a 44 años,12,4
COMUNA 2,CABA,2024,Dengue,De 35 a 44 años,15,5
COMUNA 2,CABA,2024,Dengue,De 35 a 44 años,18,1
COMUNA 2,CABA,2024,Dengue,De 45 a 65 años,14,8
COMUNA 2,CABA,2024,Dengue,De 45 a 65 años,16,6
COMUNA 2,CABA,2024,Dengue,De 45 a 65 años,9,3
COMUNA 2,CABA,2024,Dengue,Mayores de 65 años,9,4
COMUNA 2,CABA,2024,Dengue,De 10 a 14 años,8,1
COMUNA 2,CABA,2024,Dengue,De 15 a 19 años,14,2
COMUNA 2,CABA,2024,Dengue,De 15 a 19 años,9,1
COMUNA 1,CABA,2024,Dengue,De 35 a 44 años,20,4
COMUNA 1,CABA,2024,Dengue,De 35 a 44 años,5,18
COMUNA 1,CABA,2024,Dengue,De 45 a 65 años,10,271
COMUNA 1,CABA,2024,Dengue,De 45 a 65 años,8,238
COMUNA 1,CABA,2024,Dengue,Posneonato (29 hasta 365 días),8,1
COMUNA 1,CABA,2024,Dengue,De 13 a 24 meses,8,1
COMUNA 1,CABA,2024,Dengue,De 2 a 4 años,13,6
COMUNA 1,CABA,2024,Dengue,De 5 a 9 años,13,52
COMUNA 1,CABA,2024,Dengue,De 10 a 14 años,2,2
COMUNA 1,CABA,2024,Dengue,De 10 a 14 años,20,5
COMUNA 1,CABA,2024,Dengue,De 10 a 14 años,3,3
COMUNA 1,CABA,2024,Dengue,De 10 a 14 años,7,24
COMUNA 1,CABA,2024,Dengue,De 15 a 19 años,11,94
COMUNA 1,CABA,2024,Dengue,De 15 a 19 años,8,62
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,12,126
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,14,126
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,2,1
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,3,1
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,9,70
COMUNA 1,CABA,2024,Dengue,De 25 a 34 años,1,1
COMUNA 1,CABA,2024,Dengue,De 25 a 34 años,10,153
COMUNA 1,CABA,2024,Dengue,De 25 a 34 años,26,1
COMUNA 2,CABA,2024,Dengue,De 35 a 44 años,17,4
COMUNA 1,CABA,2024,Dengue,De 35 a 44 años,17,72
COMUNA 1,CABA,2024,Dengue,De 35 a 44 años,21,1
COMUNA 1,CABA,2024,Dengue,De 45 a 65 años,13,394
COMUNA 1,CABA,2024,Dengue,De 45 a 65 años,6,70
COMUNA 1,CABA,2024,Dengue,Mayores de 65 años,22,2
COMUNA 1,CABA,2024,Dengue,Mayores de 65 años,3,1
COMUNA 2,CABA,2024,Dengue,De 25 a 34 años,17,2
COMUNA 2,CABA,2024,Dengue,De 25 a 34 años,19,2
COMUNA 3,CABA,2024,Dengue,De 35 a 44 años,13,26
COMUNA 3,CABA,2024,Dengue,De 2 a 4 años,9,1
COMUNA 3,CABA,2024,Dengue,De 15 a 19 años,13,9
COMUNA 3,CABA,2024,Dengue,De 20 a 24 años,12,8
COMUNA 3,CABA,2024,Dengue,De 25 a 34 años,11,21
COMUNA 4,CABA,2024,Dengue,De 35 a 44 años,21,1
COMUNA 4,CABA,2024,Dengue,De 35 a 44 años,4,6
COMUNA 4,CABA,2024,Dengue,De 45 a 65 años,13,62
COMUNA 4,CABA,2024,Dengue,Mayores de 65 años,5,2
COMUNA 4,CABA,2024,Dengue,Mayores de 65 años,7,2
COMUNA 4,CABA,2024,Dengue,De 5 a 9 años,16,4
